setSpec, setName
projekt, Projekty / Projects
akce, Akce / Fieldwork Events
lokalita, Lokality / Sites
dok_jednotka, Dokumentační jednotky / Descriptive Units
adb, Archeologický dokumentační bod / Archaeological Documentation Point
dokument, Dokumenty / Documents
soubor, Soubory / Files
pian, PIAN / Spatial Units
ext_zdroj, Externí zdroje / External Sources
let, Lety / Flights
samostatny_nalez, Samostatné nálezy / Individual Finds
